epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.42,2.53434,2.64925,2.2547,0.63341,0.15152,0.23119,0.07333,2.6463,2.84077,2.40091,0.0673548,0.000329749,0.000329749
2,47.9307,2.19957,2.17186,2.01485,0.41741,0.38186,0.335,0.1107,2.42484,2.07776,2.31827,0.0343384,0.000646671,0.000646671
3,70.3861,2.04118,2.03839,1.95495,0.5036,0.39062,0.37153,0.12003,2.38745,1.97964,2.30774,0.00130552,0.000947093,0.000947093
4,93.2953,2.01103,1.98985,1.91915,0.48499,0.43316,0.39911,0.14568,2.35028,1.97969,2.26483,0.00092575,0.00092575,0.00092575
5,115.158,1.96483,1.94154,1.93393,0.4319,0.41874,0.34732,0.12011,2.33292,1.87471,2.28933,0.000901,0.000901,0.000901
6,137.077,1.90771,1.86136,1.87254,0.587,0.36898,0.42562,0.14997,2.33981,1.874,2.25137,0.00087625,0.00087625,0.00087625
7,159.36,1.90286,1.85619,1.84357,0.49555,0.44563,0.39373,0.13904,2.27811,1.88872,2.19449,0.0008515,0.0008515,0.0008515
8,181.337,1.8196,1.75922,1.79707,0.47002,0.42246,0.40539,0.14992,2.34977,1.8815,2.24417,0.00082675,0.00082675,0.00082675
9,202.628,1.85281,1.82322,1.82432,0.52393,0.45512,0.42431,0.15427,2.28142,1.77911,2.193,0.000802,0.000802,0.000802
10,224.539,1.77912,1.71763,1.78579,0.55039,0.4385,0.42588,0.15515,2.33599,1.78159,2.25748,0.00077725,0.00077725,0.00077725
11,246.309,1.8258,1.73823,1.8165,0.50899,0.45455,0.42029,0.1487,2.31794,1.78352,2.20207,0.0007525,0.0007525,0.0007525
12,268.096,1.80686,1.67353,1.75938,0.56149,0.4902,0.47125,0.16875,2.32078,1.70031,2.19421,0.00072775,0.00072775,0.00072775
13,289.595,1.74504,1.6142,1.73011,0.60188,0.43672,0.46716,0.17139,2.32177,1.72313,2.18566,0.000703,0.000703,0.000703
